발생량_평,기준일,1인당 쓰레기양,급식인원수,칼로리_평균,탄_평균,단_평균,지_평균,"요리명_양념소스, 음료 제외__basket",핵심식재료_basket,요일_블록,최종_잔반그룹
250,20250430,0.3628,689,737.25,115.9,28.9,16.35,"흑미밥, 얼갈이된장국(육), 매콤돼지갈비찜, 벌집고구마튀김, 배추김치, 초코슈, 자율밥, 잔치국수(한그릇), 꼬들오이지무침, 쫀득고기만두, 깍두기","얼갈이배추, 돼지갈비, 고구마, 초코, 소면, 야채, 만두",Wednesday,HIGH
290,20250507,0.461,629,784.7,99.3,42.9,22.4,"제육덮밥, 맑은콩나물국, (우유)야채계란찜, 나박김치, 오렌지","돼지고기, 콩나물, 우유, 야채, 계란, 오렌지",Wednesday,HIGH
195,20250509,0.31,629,972.0,117.55,39.25,37.55,"수수밥, 부대찌개, 감자채볶음, 블랙알리오치킨, 양념깻잎지, 스팸마요덮밥, 유부된장국, 두부떡강정, 깍두기","소시지, 햄, 두부, 감자, 닭고기, 스팸, 유부, 두부, 떡",Friday,NORMAL
210,20250512,0.3048,629,822.5,130.6,26.0,22.4,"자율밥, 투움바파스타, 감귤샐러드, 고다&체다치즈함박, 채소피클","파스타, 베이컨, 감귤, 샐러드채소, 치즈, 돼지고기, 소고기",Monday,NORMAL
240,20250514,0.3483,629,1025.6,105.7,43.8,44.0,"잡곡밥, 계란파국, 돈육두부양념조림, 오리간장불고기, 무쌈, 배추김치","계란, 대파, 돼지고기, 두부, 오리고기",Wednesday,HIGH
220,20250516,0.3498,629,804.25,124.5,37.65,16.45,"찹쌀밥, 브로콜리크림스프(육), 열대과일샐러드, 돈마호크스테이크, 야채가니쉬, 깍두기, 초코퐁당카네이션케익, 현미밥, 쑥갓어묵국, 파채떡볶이, 배추김치, 탕수만두(채식)","브로콜리, 과일, 돼지고기, 야채, 케이크, 초코, 쑥갓, 어묵, 떡, 대파, 만두",Friday,NORMAL
230,20250519,0.3657,629,824.1,109.2,47.8,19.9,"흑미밥, 아욱된장국, 매운콩나물무침, 돈육간장불고기, 딸기파이, 배추김치","아욱, 콩나물, 돼지고기, 딸기",Monday,HIGH
200,20250521,0.318,629,886.3,119.45,31.05,30.25,"현미밥, 우동국물(육), 쫄면야채무침, 남산식왕돈까스, 깍두기, 파인애플(40g), 잡곡밥, 황태미역국, 마늘종햄볶음, 닭윙데리야끼조림, 배추김치, 요거트아이스크림, 밀크초코씨리얼","우동, 쫄면, 야채, 돼지고기, 파인애플, 황태, 미역, 마늘종, 햄, 닭윙, 요거트, 아이스크림, 시리얼, 초코, 우유",Wednesday,NORMAL
220,20250523,0.3498,629,898.55,126.05,40.85,25.95,"현미밥, 두부김치국, 흑초오리불고기, 미역줄기볶음, 깍두기, 바나나(1/2), 닭갈비덮밥, 맑은순두부찌개, 새우꼬치, 깍두기","두부, 김치, 오리고기, 미역줄기, 바나나, 닭고기, 순두부, 새우",Friday,NORMAL
150,20250526,0.2385,629,899.2,136.4,42.3,17.7,"수수밥, 돼지국밥, 부추겉절이, 김치전, 깍두기, 꿀떡","돼지고기, 김치, 떡",Monday,LOW
230,20250528,0.3657,629,860.05,127.15,36.75,21.95,"차조밥, 순살감자탕, 치커리사과무침(육), 소바바간장치킨&양념치킨소스, 배추김치, 흑미밥, 참치김치찌개, 돼지갈비찜(육), 마카로니샐러드, 총각김치, 사과(한조각)","돼지고기, 감자, 치커리, 사과, 닭고기, 참치, 김치, 돼지갈비, 마카로니, 사과",Wednesday,HIGH
200,20250530,0.318,629,896.2,103.5,41.15,32.8,"찹쌀밥, 장각삼계탕(육), 오이고추된장무침, 동그랑땡/케찹, 깍두기, 기장밥(전), 근대된장국, 동파육, 청경채무침, 보쌈김치, 수리취우유크림떡","닭고기, 오이고추, 동그랑땡, 근대, 돼지고기, 청경채, 수리취, 우유, 떡",Friday,NORMAL
170,20250602,0.2703,629,757.0,92.9,39.2,23.2,"목살데리야끼볶음밥, 꼬지어묵국, 닭날개오븐구이, 나박김치, 파인애플(40g)","돼지목살, 어묵, 닭날개, 파인애플",Monday,LOW
220,20250604,0.3498,629,803.1,130.4,29.0,18.3,"나물비빔밥, 유부된장국, 계란후라이, 열무김치, 약고추장, 치즈감자고로케","나물, 유부, 계란, 치즈, 감자",Wednesday,HIGH
210,20250606,0.3339,629,1070.0,107.8,38.1,52.2,"보리밥, 얼큰순두부국, 모듬소시지볶음, 캠핑모듬구이, 보쌈김치, 우리쌀호국보훈케이크","순두부, 소시지, 돼지고기, 케이크",Friday,NORMAL
220,20250609,0.3498,629,887.8,120.2,41.3,27.0,"현미밥, 맑은콩나물국, 순살간장찜닭, 참나물두부무침, 깍두기, 밤타르트","콩나물, 닭고기, 참나물, 두부, 밤",Monday,NORMAL
210,20250611,0.3339,629,764.9,128.3,36.25,10.3,"김치볶음밥, 얼갈이된장국(육), 도토리묵무침, 궁중떡볶이, 열무김치, 잡곡밥, 두부미역국, 돈사태찜, 삼치구이, 배추김치, 우리쌀 우유꿀설기","김치, 얼갈이배추, 도토리묵, 떡, 소고기, 두부, 미역, 돼지고기, 삼치, 우유, 떡",Wednesday,NORMAL
225,20250613,0.3577,629,998.1,114.5,44.75,39.75,"귀리밥, 들깨무채국, 훈제오리, 새송이양파볶음, 배추김치, 옥수수크림파이, 자율밥, 오이양파무침, 크림카레우동, 닭살바베큐오븐구이, 깍두기","들깨, 무, 오리고기, 새송이버섯, 양파, 옥수수, 오이, 양파, 카레, 우동, 닭고기",Friday,HIGH
190,20250616,0.3021,629,971.5,110.0,43.3,37.2,"보리밥, 돈육김치찌개, 수육, 비름나물무침, 무생채, 딸기슈","돼지고기, 김치, 비름나물, 무, 딸기",Monday,LOW
210,20250618,0.3339,629,868.15,120.05,38.7,25.3,"현미밥, 두부구이(육), 감자짜글이찌개, 참치김치볶음, 한우버섯불고기, 흑미밥, 우동국물(육), 눈꽃치즈닭갈비(육), 감자채전오코노미야끼, 배추김치, 딸기요플레","두부, 감자, 돼지고기, 참치, 김치, 소고기, 버섯, 우동, 치즈, 닭고기, 감자, 양배추, 딸기, 요거트",Wednesday,NORMAL
190,20250620,0.3021,629,794.45,116.0,33.95,20.05,"수수밥, 사골떡국, 연잎수제떡갈비, 매운콩나물무침, 무생채, 사과(한조각), 귀리밥, 마라탕, 메추리알장조림(꽈리고추), 새우멘보샤, 배추김치, (얼려먹는)샤인머스켓아이스","사골, 떡, 돼지고기, 소고기, 콩나물, 무, 사과, 소고기, 야채, 당면, 메추리알, 새우, 식빵, 샤인머스켓",Friday,LOW
290,20250623,0.461,629,1061.6,222.7,20.2,9.9,"현미밥, 감자수제비국, 우삼겹떡볶이, 롱김말이튀김, 배추김치, 조각멜론","감자, 수제비, 소고기, 떡, 김, 멜론",Monday,HIGH
200,20250625,0.318,629,883.1,143.45,37.1,18.9,"흑미밥, 비빔막국수, 애호박된장찌개, 오븐바삭치킨떡강정, 깍두기, 아이스망고스틱, 자율밥, 짜장면, 계란파국, 열무김치, 오곡등심탕수육","막국수, 애호박, 닭고기, 떡, 망고, 면, 돼지고기, 야채, 계란, 대파",Wednesday,NORMAL
210,20250627,0.3339,629,750.7,77.5,46.4,29.15,"잡곡밥, 물만두국, 제육볶음(육), 애호박느타리볶음, 배추김치, 참치마요덮밥(육), 두부김치국, 콘치즈사각피자, 무생채, 쁘띠첼(감귤맛)","만두, 돼지고기, 애호박, 느타리버섯, 참치, 두부, 김치, 옥수수, 치즈, 피자도우, 무, 젤리",Friday,NORMAL
350,20250630,0.5564,629,715.6,108.6,33.5,16.5,"보리밥, 닭곰탕大(육), 숙주나물무침, 치즈돈가스, 깍두기, 수박","닭고기, 숙주, 치즈, 돼지고기, 수박",Monday,HIGH
240,20250901,0.3499,686,900.2,92.3,36.3,40.7,"귀리밥, 닭개장, 오이양파무침, 오리간장불고기, 배추김치, 꿀떡","닭고기, 오이, 양파, 오리고기, 떡",Monday,NORMAL
200,20250903,0.2915,686,919.05,101.95,43.75,36.05,"흑미밥, 부대찌개, 감자채볶음, 고구마함박, 깍두기, 마제덮밥, 미소장국, 용가리치킨샐러드, 총각김치","소시지, 햄, 두부, 감자, 고구마, 돼지고기, 소고기, 돼지고기, 미소, 닭고기, 샐러드채소",Wednesday,LOW
240,20250905,0.3499,686,842.4,153.1,30.55,10.8,"현미밥, 조랭이꽃떡국, 삼치데리야끼구이, 배추김치, 조각멜론, 고구마츄러스맛탕, 수수밥, 맑은콩나물국, 백순대볶음, 슈프림치킨, 배추김치","떡, 삼치, 멜론, 고구마, 콩나물, 순대, 닭고기",Friday,NORMAL
210,20250908,0.3061,686,1023.0,174.4,25.1,23.8,"잡곡밥, 브로콜리크림스프(육), 웨지감자구이, 통목살스테이크/파인애플, 채소피클, 우유모닝빵과 딸기잼","브로콜리, 감자, 돼지목살, 파인애플, 우유, 모닝빵, 딸기잼",Monday,NORMAL
180,20250910,0.2624,686,855.6,132.0,34.05,21.0,"숯불치킨덮밥, 유부장국, 갈릭크림치즈피자, 나박김치, 계란볶음밥, 자율밥, 짜장떡볶이, 납작군만두, 수제레몬에이드, 단무지","닭고기, 유부, 마늘, 크림치즈, 피자도우, 계란, 떡, 돼지고기, 만두, 레몬",Wednesday,LOW
225,20250912,0.328,686,806.5,101.8,37.7,27.75,"흑미밥, 얼큰어묵국, 아이스망고치즈샐러드, 느타리들깨볶음, 달콘치킨, 무생채, 보리밥, 마라탕, 꽈리고추계란장조림, 찹쌀꿔바로우, 깍두기","어묵, 망고, 치즈, 느타리버섯, 들깨, 닭고기, 무, 소고기, 야채, 당면, 꽈리고추, 계란, 돼지고기",Friday,NORMAL
240,20250915,0.3499,686,927.6,100.3,32.1,43.7,"보리밥, 근대된장국, 훈제오리/머스타드, 미나리숙주무침(육), 양념깻잎지, 바나나(1/2)","근대, 오리고기, 미나리, 숙주, 바나나",Monday,NORMAL
205,20250917,0.2988,686,798.0,121.6,30.35,19.9,"차조밥, 감자수제비국, 토마토카프레제샐러드, 블랙페퍼오븐치킨, 무생채, 딸기요플레, 찹쌀밥, 돼지국밥, 부추겉절이, 통살새우까스, 깍두기, 파인애플(40g)","감자, 수제비, 토마토, 치즈, 닭고기, 무, 딸기, 요거트, 돼지고기, 새우, 파인애플",Wednesday,NORMAL
210,20250919,0.3061,686,824.45,113.25,39.65,22.75,"잡곡밥, 얼큰순두부국, 미역줄기볶음, 바베큐폭찹스테이크, 총각김치, 미니사과, 현미밥, 순살감자탕, 명엽채볶음, 장각구이, 배추김치, 샤인머스캣푸딩","순두부, 미역줄기, 돼지고기, 사과, 돼지고기, 감자, 명태채, 닭다리, 샤인머스캣, 푸딩",Friday,LOW
290,20250922,0.4227,686,816.0,109.4,47.0,19.8,"보리밥, 부추계란국(육), 우리밀팥찐빵, 간장숯불불고기, 배추김치, 양배추찜/쌈장","부추, 계란, 팥, 찐빵, 소고기, 양배추",Monday,HIGH
155,20250924,0.2259,686,962.1,135.2,24.8,34.85,"스팸마요덮밥, 들깨미역국, 배추김치, 회오리감자, 자율밥, 어묵우동, 꼬들오이지무침, 깍두기, 타코야끼","스팸, 들깨, 미역, 감자, 어묵, 우동, 문어",Wednesday,LOW
260,20250926,0.379,686,841.05,111.65,44.0,23.3,"잡곡밥, 블루베리크림치즈토스트, 돈육김치찌개, 안동찜닭(육), 청경채무침, 무생채, 귀리밥, 팽이버섯장국, 매콤돼지갈비찜, 배추김치, 도시락김","블루베리, 크림치즈, 식빵, 돼지고기, 김치, 닭고기, 청경채, 무, 팽이버섯, 돼지갈비, 김",Friday,HIGH
240,20250929,0.3499,686,698.4,87.0,53.1,12.9,"현미밥, 참치김치찌개, 흑돼지숯불바베큐, 매운콩나물무침, 무쌈, 보쌈김치","참치, 김치, 흑돼지, 콩나물",Monday,NORMAL
210,20251001,0.3061,686,741.4,124.75,33.2,10.95,"날치알김치볶음밥, 자율밥, 얼갈이된장국(육), 초당옥수수콘치즈돈가스, 총각김치","김치, 날치알, 얼갈이배추, 옥수수, 치즈, 돼지고기",Wednesday,NORMAL
230,20251002,0.3353,686,749.3,130.7,24.4,12.5,"보리밥, 닭곰탕大(육), 도토리묵무침, LA돼지갈비오븐구이, 깍두기, 요거트꿀떡","닭고기, 도토리묵, 돼지갈비, 요거트, 떡",Thursday,HIGH
110,20251013,0.4453,247,973.1,145.9,46.6,21.7,"찹쌀밥, 비빔막국수, 유부장국, 상추쌈, 대파족발볶음, 보쌈김치","막국수, 유부, 상추, 대파, 족발",Monday,HIGH
190,20251015,0.277,686,644.7,100.1,26.3,14.8,"나물비빔밥, 근대된장국, 부추새송이만두, 계란후라이, 무생채","나물, 근대, 부추, 새송이버섯, 만두, 계란, 무",Wednesday,LOW
265,20251017,0.3863,686,866.6,121.95,42.6,21.25,"차조밥, 북어국(육), 쫄면야채무침, 돈육간장불고기, 총각김치, 기장밥(전), 맑은순두부찌개, 마카로니샐러드, 고구마닭갈비, 배추김치, 초코슈","북어, 쫄면, 야채, 돼지고기, 순두부, 마카로니, 고구마, 닭고기, 초코",Friday,HIGH
120,20251020,0.1749,686,832.7,96.5,49.0,25.9,"흑미밥, 두부김치국, 찹쌀콩멸치볶음, 갈비맛치킨, 깍두기, (방울)토마토샐러드","두부, 김치, 콩, 멸치, 닭고기, 방울토마토, 샐러드채소",Monday,LOW
235,20251022,0.3426,686,888.9,124.3,39.35,25.0,"현미밥, 사골떡국, 돼지갈비찜(육), 콩나물파채무침, 양념깻잎지, 자율밥, 옥수수크림스프, 베이컨로제파스타(육), 닭윙데리야끼조림, 나박김치, 마늘빵","사골, 떡, 돼지갈비, 콩나물, 옥수수, 베이컨, 파스타, 닭윙, 마늘, 빵",Wednesday,NORMAL
210,20251024,0.3061,686,847.7,118.75,33.4,24.75,"김치알밥, 두부미역국, 궁중떡볶이, 무생채, 잡곡밥, 육개장, 메추리알장조림(육), 고등어구이, 배추김치, 쿠키케이크","김치, 날치알, 두부, 미역, 떡, 소고기, 무, 소고기, 메추리알, 고등어, 쿠키, 케이크",Friday,LOW
240,20251027,0.3499,686,782.3,126.9,33.1,15.6,"키마커리덮밥, 쑥갓어묵국, 간장무채장아찌, 탄두리치킨, 배추김치, 아이스망고","소고기, 커리, 쑥갓, 어묵, 닭고기, 망고",Monday,NORMAL
225,20251029,0.328,686,710.5,104.95,39.5,14.0,"현미밥, 감자고추장찌개, 치커리사과무침(육), 짜장오리불고기, 배추김치, 골드키위, 보리밥, 순대국밥, 파채무침, 오이고추된장무침, 언양식불고기, 깍두기","감자, 치커리, 사과, 오리고기, 키위, 순대, 대파, 오이고추, 소고기",Wednesday,NORMAL
225,20251031,0.328,686,721.2,91.8,33.1,23.7,"잡곡밥, 계란파국, 순살간장찜닭, 얼갈이된장무침, 배추김치, 목살데리야끼볶음밥, 참치김치찌개, 브로콜리참깨소스무침, 갈릭베이컨알감자구이, 나박김치, 파인애플(40g)","계란, 대파, 닭고기, 얼갈이배추, 돼지목살, 참치, 김치, 브로콜리, 마늘, 베이컨, 알감자, 파인애플",Friday,NORMAL
240,20251103,0.3499,686,693.0,105.7,34.6,13.6,"흑미밥, 닭개장, 돈사태찜, 가지나물, 총각김치","닭고기, 돼지고기, 가지",Monday,NORMAL
240,20251105,0.3499,686,811.65,101.95,38.3,26.8,"수수밥, 순살감자탕, 싸먹는오리슬라이스/양배추부추겨자무침, 부들어묵볶음, 배추김치, 샤인머스켓, 현미밥, 아욱감자국, 상추쌈/쌈장, 골뱅이야채무침, 오븐목살구이와 야채구이, 보쌈김치","돼지고기, 감자, 오리고기, 양배추, 부추, 어묵, 샤인머스켓, 아욱, 감자, 상추, 골뱅이, 야채, 돼지목살",Wednesday,HIGH
205,20251107,0.2988,686,651.05,100.05,28.85,14.35,"흑미밥, 들깨무채국, 쑥갓두부무침, 눈꽃치즈닭갈비(육), 배추김치, 사과(한조각), 전복새우톳볶음밥, 우동국물(육), 숙주나물무침, 순대야채볶음, 깍두기, 단감","들깨, 무, 쑥갓, 두부, 치즈, 닭고기, 사과, 전복, 새우, 톳, 우동, 숙주, 순대, 야채, 단감",Friday,LOW
230,20251110,0.3353,686,657.0,101.0,35.1,11.5,"잡곡밥, 계란파국, 감자채볶음, 제육볶음(육), 총각김치, 바나나(1/2)","계란, 대파, 감자, 돼지고기, 바나나",Monday,NORMAL
220,20251112,0.3207,686,637.85,99.55,35.8,9.35,"귀리밥, 얼갈이된장국(육), 숯불조림닭, 미역줄기볶음, 배추김치, 초코우리쌀칩, 보리밥, 맑은콩나물국, (우유)야채계란찜, 낙지볶음/소면, 나박김치, 꿀떡","얼갈이배추, 닭고기, 미역줄기, 쌀과자, 초코, 콩나물, 우유, 야채, 계란, 낙지, 소면, 떡",Wednesday,NORMAL
225,20251114,0.328,686,902.85,150.4,32.8,18.35,"현미밥, 물만둣국, 돈육김치찜, 허니버터연근튀김, 깍두기, 자두주스, 곤드레밥&양념장(육), 우렁살된장찌개, 참나물&오이무침(육), 양송이크림직화함박스테이크, 배추김치","만두, 돼지고기, 김치, 연근, 자두, 곤드레나물, 우렁, 참나물, 오이, 양송이버섯, 돼지고기, 소고기",Friday,NORMAL
310,20251117,0.4519,686,952.0,108.9,41.8,36.6,"흑미밥, 얼큰어묵국, 돼지등뼈찜&당면(육), 파래김자반, 애호박느타리볶음, 백김치","어묵, 돼지등뼈, 당면, 파래, 애호박, 느타리버섯",Monday,HIGH
260,20251119,0.379,686,671.7,93.3,35.25,16.85,"강황쌀밥(전), 두부김치국, 시금치나물무침, 닭살카레볶음, 슈크림붕어빵, 무생채, 보리밥, 한우샤브샤브국, 갈치무조림, 모듬소시지볶음, 배추김치, 귤","두부, 김치, 시금치, 닭고기, 카레, 붕어빵, 무, 소고기, 갈치, 무, 소시지, 귤",Wednesday,HIGH
245,20251121,0.3571,686,898.25,130.2,41.85,22.2,"잡곡밥, 부대찌개, 청포묵김무침, 파채불고기, 깍두기, 귀리밥, 얼큰순두부국, 브로콜리맛살볶음, 바삭크크치킨, 무생채, 골드키위","소시지, 햄, 두부, 청포묵, 김, 소고기, 대파, 순두부, 브로콜리, 맛살, 닭고기, 무, 키위",Friday,HIGH
210,20251124,0.3061,686,793.1,115.6,33.3,21.7,"훈제오리볶음밥, 감자수제비국, 궁채장아찌, 닭윙구이&양념치킨소스, 깍두기","오리고기, 감자, 수제비, 닭윙",Monday,NORMAL
255,20251126,0.3717,686,886.7,118.55,37.9,27.6,"보리밥, 꼬마전복미역국, 잡채, 오리고추장불고기(육), 무쌈, 배추김치, 마제소바, 참치마요주먹밥(육), 자율밥, 상추겉절이, 통새우만두*, 나박김치, 파인애플(40g)","전복, 미역, 당면, 야채, 오리고기, 소바, 돼지고기, 참치, 새우, 만두, 파인애플",Wednesday,HIGH
250,20251128,0.3644,686,694.95,93.05,40.25,16.35,"현미밥, 얼큰 동태찌개, 콩나물무침, 숯불갈비구이, 양념깻잎지, 차조밥, 배추된장국, 돈육두부양념조림, 분모자간장찜닭, 깍두기, 샤인머스캣주스","동태, 콩나물, 돼지갈비, 배추, 돼지고기, 두부, 닭고기, 분모자, 샤인머스캣",Friday,HIGH
190,20251201,0.277,686,691.1,91.9,26.3,24.5,"귀리밥, 육개장, 새송이양파볶음, 너비아니육전, 배추김치","소고기, 새송이버섯, 양파",Monday,LOW
200,20251203,0.2915,686,709.2,93.65,34.05,21.7,"흑미밥, 미소장국, 해물콩나물찜(아귀), 비엔나소시지케첩볶음, 총각김치, 딸기슈, 참치마요덮밥(육), 오색어묵국, 열대과일샐러드, 깍두기, 치즈감자고로케","미소, 아귀, 콩나물, 비엔나소시지, 딸기, 참치, 어묵, 과일, 치즈, 감자",Wednesday,LOW
